Lugar:,Cenario:,Aventuras,opA,opB,probSA,msgSA,probFA,msgFA,probSB,msgSB,probFB,msgFB
jotunheim:,Montanha do Gelo Eterno:,"Prova: Magnus deve escalar esta montanha gelada, enfrentando avalanches e gigantes de gelo que guardam seu caminho. No topo, ele encontra um artefato antigo congelado no coração da montanha.",deve escalar a montanha enfrentando avalanches e evitando deslizamentos de neve.,enfrenta gigantes de gelo que guardam o caminho para o artefato antigo no topo.,96,"Com determinação e habilidade, ele escala a montanha, evitando avalanches e deslizamentos de neve, alcançando o topo com segurança.",4,"Deve escalar a montanha enfrentando avalanches e evitando deslizamentos de neve, mas é soterrado por uma avalanche inesperada.",97,"Enfrenta gigantes de gelo que guardam o caminho para o artefato antigo no topo, e os vence com habilidade e coragem.",3,"Enfrenta gigantes de gelo que guardam o caminho para o artefato antigo no topo, mas é derrotado e cai da montanha."
jotunheim:,Planície dos Ventos Cortantes:,"Prova: Nesta vasta planície ventosa, Magnus é desafiado a enfrentar uma corrida contra o vento gelado, enfrentando criaturas selvagens e armadilhas naturais enquanto busca um artefato sagrado escondido entre os rochedos.","corre contra o vento gelado, desafiando o clima extremo.",enfrentava criaturas selvagens e armadilhas naturais enquanto busca o artefato sagrado.,98,"Apesar das condições adversas, ele corre contra o vento gelado, mostrando sua resistência e determinação ao alcançar seu destino ileso.",2,"Corre contra o vento gelado, desafiando o clima extremo, mas suas forças se esgotam e ele desmaia.",95,"Enfrenta criaturas selvagens e armadilhas naturais enquanto busca o artefato sagrado, e consegue recuperá-lo sem ferimentos.",5,"Enfrenta criaturas selvagens e armadilhas naturais enquanto busca o artefato sagrado, mas é capturado e ferido."
jotunheim:,Vale das Sombras Profundas:,"Prova: Magnus entra em um vale sombrio, onde as criaturas da escuridão espreitam entre as sombras. Ele deve enfrentar seus medos mais profundos e encontrar a luz interior para iluminar o caminho adiante.",enfrenta criaturas da escuridão espreitando nas sombras do vale.,deve encontrar e usar sua luz interior para iluminar o caminho e afastar os medos.,95,"Com coragem e habilidade, ele enfrenta as criaturas da escuridão, iluminando o vale com sua determinação e derrotando seus inimigos.",5,"Enfrenta criaturas da escuridão espreitando nas sombras do vale, mas é emboscado e capturado.",96,"Deve encontrar e usar sua luz interior para iluminar o caminho e afastar os medos, e a luz dissipa a escuridão ao redor.",4,"Deve encontrar e usar sua luz interior para iluminar o caminho e afastar os medos, mas a escuridão dentro dele é muito forte."
jotunheim:,Caverna do Dragão de Gelo:,"Prova: Magnus entra na caverna congelada de um dragão de gelo antigo, onde enfrentará o próprio dragão em um duelo de poderes mágicos e astúcia para recuperar um artefato roubado.",enfrenta o dragão de gelo em um duelo de poderes mágicos.,recupera um artefato roubado do coração da caverna do dragão.,97,"Com domínio sobre seus poderes mágicos, ele enfrenta o dragão de gelo em um duelo épico, emergindo vitorioso e mostrando sua força e habilidade.",3,"Enfrenta o dragão de gelo em um duelo de poderes mágicos, mas é derrotado pelo sopro gélido do dragão.",98,"Recupera um artefato roubado do coração da caverna do dragão, escapando ileso e triunfante.",2,"Recupera um artefato roubado do coração da caverna do dragão, mas é emboscado pelo dragão e perde o artefato."
jotunheim:,Floresta dos Gigantes Petrificados:,"Prova: Nesta floresta encantada, Magnus deve enfrentar os gigantes petrificados que guardam o segredo da floresta. Ele deve restaurar a vida à floresta, despertando os gigantes de sua petrificação e buscando sua ajuda para avançar.","restaura a vida à floresta, despertando os gigantes petrificados.",descobre e utiliza o segredo da floresta para avançar.,97,"Com magia e compaixão, ele restaura a vida à floresta, despertando os gigantes petrificados e trazendo harmonia de volta à terra.",7,"Restaura a vida à floresta, despertando os gigantes petrificados, mas um deles se volta contra ele.",94,"Descobre e utiliza o segredo da floresta para avançar, desvendando caminhos ocultos e segredos antigos.",6,"Descobre e utiliza o segredo da floresta para avançar, mas o segredo se volta contra ele e o aprisiona."
jotunheim:,Rio de Lava Ardente:,"Prova: Magnus deve atravessar este rio de lava vulcânica, enfrentando saliências de rocha derretida e criaturas ígneas que emergem das profundezas. Ele deve usar suas habilidades mágicas para proteger-se do calor escaldante e chegar ao outro lado ileso.","atravessa o rio de lava, evitando saliências de rocha derretida.",enfrenta criaturas de fogo que emergem da lava.,98,"Com precisão e agilidade, ele atravessa o rio de lava, evitando habilmente as saliências de rocha derretida, alcançando o outro lado ileso.",2,"Atravessa o rio de lava, evitando saliências de rocha derretida, mas uma erupção repentina o engole.",97,"Enfrenta criaturas de fogo que emergem da lava, e as derrota com destreza e estratégia.",3,"Enfrenta criaturas de fogo que emergem da lava, mas é queimado e forçado a recuar."
jotunheim:,Torre do Desafio Imortal:,"Prova: Magnus entra na torre dos desafios, onde enfrentará uma série de armadilhas mortais e criaturas monstruosas que guardam o caminho para o topo. No ápice da torre, ele encontra um espelho mágico que reflete sua verdadeira natureza.",supera uma série de armadilhas mortais na torre.,enfrenta sua verdadeira natureza refletida em um espelho mágico no topo.,96,"Com astúcia e determinação, ele supera cada armadilha mortal na torre, mostrando sua habilidade em antecipar e evitar perigos.",4,"Supera uma série de armadilhas mortais na torre, mas uma delas é mais rápida e ele é pego.",95,"Enfrenta sua verdadeira natureza refletida em um espelho mágico no topo, e aceita a verdade, tornando-se mais forte.",5,"Enfrenta sua verdadeira natureza refletida em um espelho mágico no topo, mas a visão o desorienta e ele cai."
jotunheim:,Abismo das Almas Perdidas:,"Prova: Magnus desce ao abismo escuro, onde as almas dos perdidos vagam em tormento eterno. Ele deve enfrentar os espectros malignos que assombram este lugar e encontrar a alma de um herói caído para libertá-lo e ganhar sua ajuda.",enfrenta espectros que assombram o abismo., encontra e liberta a alma de um herói caído.,97,"Com coragem e bravura, ele enfrenta os espectros que assombram o abismo, dissipando sua influência sombria e avançando em sua jornada.",3,"Enfrenta espectros que assombram o abismo, mas é tomado pelo desespero e se rende.",96,"Encontra e liberta a alma de um herói caído, trazendo paz e libertação para ambos.",4,"Encontra e liberta a alma de um herói caído, mas a alma o acusa e ele é atormentado pela culpa."
jotunheim:,Vale da Aurora Negra:,"Prova: Neste vale enevoado, Magnus é desafiado a enfrentar a escuridão da Aurora Negra, uma tempestade mágica que consome tudo em seu caminho. Ele deve encontrar o olho da tempestade e dissipar sua escuridão para restaurar a luz ao vale.",enfrenta a escuridão da Aurora Negra.,encontra e dissipa a escuridão no olho da tempestade.,98,"Desafiando a escuridão com luz e esperança, ele enfrenta a Aurora Negra, dissipando suas sombras e trazendo claridade à escuridão.",2,"Enfrenta a escuridão da Aurora Negra, mas é consumido pela escuridão e desaparece.",94,"Encontra e dissipa a escuridão no olho da tempestade, restaurando a calma e a clareza.",6,"Encontra e dissipa a escuridão no olho da tempestade, mas a escuridão o consome."
jotunheim:,Fortaleza do Rei Gigante:,"Prova: Magnus enfrenta a fortaleza do rei dos gigantes, onde ele deve desafiar o próprio rei em um duelo de vontades e forças. Ele deve provar sua coragem e habilidade para conquistar o respeito dos gigantes e ganhar sua ajuda na batalha final.",desafia o rei dos gigantes em um duelo de vontades e forças., conquista o respeito dos gigantes para ganhar sua ajuda.,97,"Com determinação e poder, ele desafia o rei dos gigantes em um duelo épico, emergindo como vitorioso e mostrando sua força e coragem.",3,"Desafia o rei dos gigantes em um duelo de vontades e forças, mas é esmagado pela força superior do gigante.",93,"Conquista o respeito dos gigantes para ganhar sua ajuda, e eles se tornam seus aliados leais.",7,"Conquista o respeito dos gigantes para ganhar sua ajuda, mas eles o traem e ele é capturado."
helheim:,Desfiladeiro dos Lamentos:,"Prova: Magnus entra neste desfiladeiro escuro, onde as almas dos mortos clamam por redenção. Ele deve navegar pelas sombras e enfrentar as manifestações dos arrependimentos do passado para avançar.","deve navegar pelas sombras do desfiladeiro, onde as almas dos mortos clamam por redenção.",deve encontrar e libertar as almas aprisionadas no desfiladeiro,96,"Guiado pela compaixão e determinação, ele navega pelas sombras do desfiladeiro, trazendo paz às almas dos mortos e encontrando o caminho para a redenção.",4,"Deve navegar pelas sombras do desfiladeiro, onde as almas dos mortos clamam por redenção, mas é puxado para o abismo.",95,"Deve encontrar e libertar as almas aprisionadas no desfiladeiro, e as almas, gratas, o abençoam.",5,"Deve encontrar e libertar as almas aprisionadas no desfiladeiro, mas as almas o rejeitam e ele é condenado."
helheim:,Pântano dos Espíritos Atormentados:,"Prova: Neste pântano fétido, Magnus é desafiado a enfrentar os espíritos vingativos que se agitam sob as águas lamacentas. Ele deve encontrar o túmulo de um antigo rei amaldiçoado e recuperar um artefato sagrado escondido entre os mortos.",deve enfrentar espíritos vingativos sob as águas lamacentas e encontrar o túmulo de um antigo rei amaldiçoado,deve purificar o pântano ao pacificar os espíritos atormentados,94,"Com coragem e compaixão, ele enfrenta os espíritos vingativos sob as águas lamacentas, libertando-os de sua ira e encontrando o túmulo do antigo rei amaldiçoado, trazendo paz à região.",6,"Deve enfrentar espíritos vingativos sob as águas lamacentas e encontrar o túmulo de um antigo rei amaldiçoado, mas é preso pelos espíritos.",96,"Deve purificar o pântano ao pacificar os espíritos atormentados, e o pântano floresce em um oásis de paz.",4,"Deve purificar o pântano ao pacificar os espíritos atormentados, mas os espíritos o atacam e ele é derrotado."
helheim:,Ruínas da Cidade Esquecida:,"Prova: Magnus explora as ruínas desta cidade abandonada, onde os mortos vagam sem descanso. Ele deve decifrar os enigmas das antigas inscrições e enfrentar os espectros que guardam os segredos do passado.","explora as ruínas, decifrando inscrições antigas e enfrentando espectros que guardam os segredos do passado ","deve encontrar e derrotar os guardiões espectrais que protegem os tesouros ocultos da cidade,",97,"Com conhecimento e coragem, ele explora as ruínas, decifrando as inscrições antigas e enfrentando os espectros que guardam os segredos do passado, desvendando os mistérios da civilização perdida.",3,"Explora as ruínas, decifrando inscrições antigas e enfrentando espectros que guardam os segredos do passado, mas é vencido pelos enigmas.",97,"Deve encontrar e derrotar os guardiões espectrais que protegem os tesouros ocultos da cidade, e os tesouros se revelam a ele.",3,"Deve encontrar e derrotar os guardiões espectrais que protegem os tesouros ocultos da cidade, mas é superado e foge."
helheim:,Cripta dos Condenados:,"Prova: Magnus desce às profundezas desta cripta sombria, onde os mortos se erguem para enfrentá-lo. Ele deve lutar contra as hordas de zumbis e esqueletos que guardam o caminho para o coração da cripta, onde um segredo sombrio aguarda.",desce às profundezas da cripta e enfrenta hordas de zumbis e esqueletos,deve descobrir um segredo antigo guardado na cripta,98,"Com bravura e habilidade, ele desce às profundezas da cripta, enfrentando as hordas de zumbis e esqueletos, restaurando a paz aos espíritos perturbados e emergindo como o vencedor.",2,"Desce às profundezas da cripta e enfrenta hordas de zumbis e esqueletos, mas é dominado pelo número esmagador.",94,"Deve descobrir um segredo antigo guardado na cripta, e o segredo lhe dá um grande poder.",6,"Deve descobrir um segredo antigo guardado na cripta, mas o segredo o enlouquece."
helheim:,Vale da Noite Eterna:,"Prova: Neste vale envolto em trevas eternas, Magnus é desafiado a enfrentar o medo da escuridão que consome tudo. Ele deve encontrar uma fonte de luz divina para dissipar as sombras e revelar o caminho adiante.", deve enfrentar o medo da escuridão que consome o vale,deve encontrar e ativar uma fonte de luz sagrada escondida no vale,96,"Com coragem inabalável, ele enfrenta o medo da escuridão que consome o vale, iluminando o caminho com sua própria luz interior e dissipando as trevas com sua determinação.",4,"Deve enfrentar o medo da escuridão que consome o vale, mas sucumbe ao terror.",96,"Deve encontrar e ativar uma fonte de luz sagrada escondida no vale, e a luz guia-o para além da escuridão.",4,"Deve encontrar e ativar uma fonte de luz sagrada escondida no vale, mas a fonte se apaga antes que ele possa utilizá-la."
helheim:,Labirinto dos Pesadelos:,"Prova: Magnus entra neste labirinto mágico, onde os pesadelos ganham vida. Ele deve enfrentar suas piores fobias e superar os terrores que assombram suas próprias mentes para encontrar a saída.",entra no labirinto onde seus piores pesadelos ganham vida, deve superar terrores que assombram sua mente,97,"Com determinação implacável, ele adentra o labirinto onde seus piores pesadelos ganham vida, enfrentando cada desafio com coragem e superando seus medos mais profundos.",3,"Entra no labirinto onde seus piores pesadelos ganham vida, mas não consegue encontrar a saída e se perde para sempre.",95,"Deve superar terrores que assombram sua mente, e emerge vitorioso, com uma mente clara e resoluta.",5,"Deve superar terrores que assombram sua mente, mas sucumbe ao medo e desiste."
helheim:,Portal das Almas Perdidas:,Prova: Magnus é confrontado por um portal sombrio que conduz às profundezas do reino de Hel. Ele deve enfrentar os guardiões do portal e provar sua coragem para passar para o outro lado.,deve enfrentar os guardiões do portal sombrio que leva às profundezas do reino de Hel,"deve demonstrar bravura ao atravessar o portal, enfrentando desafios que testam sua determinação",98,"Com valentia indomável, ele enfrenta os guardiões do portal sombrio, desafiando-os em um confronto épico e abrindo caminho para as profundezas do reino de Hel.",2,"Deve enfrentar os guardiões do portal sombrio que leva às profundezas do reino de Hel, mas é derrotado na entrada.",93,"Deve demonstrar bravura ao atravessar o portal, enfrentando desafios que testam sua determinação, e cruza com sucesso.",7,"Deve demonstrar bravura ao atravessar o portal, enfrentando desafios que testam sua determinação, mas falha e recua."
helheim:,Ponte da Condenação:,"Prova: Magnus atravessa esta ponte estreita, onde as almas dos mortos balançam acima de um abismo escuro. Ele deve enfrentar os espectros que guardam a ponte e evitar cair no abismo abaixo.","atravessa uma ponte estreita, enfrentando espectros que tentam derrubá-lo no abismo abaixo,", deve atravessar a ponte evitando armadilhas espirituais e ataques dos mortos,97,"Com equilíbrio e destreza, ele atravessa a ponte estreita, enfrentando os espectros que tentam derrubá-lo no abismo abaixo, mantendo-se firme em sua determinação e alcançando o outro lado com segurança.",3,"Atravessa uma ponte estreita, enfrentando espectros que tentam derrubá-lo no abismo abaixo, mas perde o equilíbrio e cai.",94,"Deve atravessar a ponte evitando armadilhas espirituais e ataques dos mortos, e chega ao outro lado incólume.",6,"Deve atravessar a ponte evitando armadilhas espirituais e ataques dos mortos, mas é capturado pelos espíritos."
helheim:,Sala do Julgamento:,"Prova: Magnus é levado perante o tribunal dos mortos, onde sua vida é julgada por seus pecados e virtudes. Ele deve apresentar sua defesa diante dos juízes sombrios e provar que merece uma segunda chance.",é julgado por um tribunal de mortos,"deve demonstrar suas virtudes e arrependimentos, enfrentando julgamentos ",96,"Com integridade e sabedoria, ele se apresenta diante do tribunal de mortos, defendendo sua causa com convicção e conquistando o respeito dos juízes, provando sua inocência ou redenção.",4,"É julgado por um tribunal de mortos, mas não consegue se defender e é condenado eternamente.",96,"Deve demonstrar suas virtudes e arrependimentos, enfrentando julgamentos, e é absolvido com honra.",4,"Deve demonstrar suas virtudes e arrependimentos, enfrentando julgamentos, mas é considerado indigno e condenado."
helheim:,Trono da Rainha dos Mortos:,"Prova: Magnus enfrenta a própria rainha de Hel em seu trono sombrio, onde ele deve lutar contra seus guardiões mortais e desafiar a própria deusa da morte em um duelo de poderes místicos. Ele deve provar sua força e determinação para ganhar sua liberdade do reino de Hel."," enfrenta os guardiões letais da rainha de Hel, ","desafia a própria rainha da morte em um duelo de poderes místicos, ",97,"Com destemor e determinação, ele enfrenta os guardiões letais da rainha de Hel, demonstrando sua força e habilidade em combate e emergindo triunfante sobre seus oponentes.",3,"Enfrenta os guardiões letais da rainha de Hel, mas é vencido por suas habilidades superiores.",97,"Desafia a própria rainha da morte em um duelo de poderes místicos, e a derrota, quebrando suas correntes.",3,"Desafia a própria rainha da morte em um duelo de poderes místicos, mas é derrotado e perde tudo."
asgard:,Salão de Valhalla:,"Prova: Magnus é convocado para o Salão de Valhalla, onde deve provar sua valentia em um combate contra os guerreiros mais poderosos de todas as eras. Ele deve enfrentar uma série de desafios de combate e provar seu valor como um verdadeiro guerreiro.",enfrenta guerreiros poderosos de todas as eras.,participa de um banquete superando testes de força e resistência.,98,"Com coragem e habilidade, ele enfrenta os guerreiros poderosos de todas as eras, provando sua destreza em combate e emergindo como um igual entre os grandes heróis do passado.",2,"Enfrenta guerreiros poderosos de todas as eras, mas é derrotado pela força coletiva deles.",95,"Participa de um banquete superando testes de força e resistência, e é celebrado como um herói.",5,"Participa de um banquete superando testes de força e resistência, mas falha nos testes e é expulso."
asgard:,ponte bifrost,"Prova: Magnus deve atravessar a Ponte Bifröst, a ligação entre os Nove Reinos, enfrentando os guardiões místicos que protegem seu caminho. Ele deve demonstrar sua coragem e determinação para passar com segurança para o próximo reino.",luta contra os guardiões místicos da ponte.,enfrenta tempestades e forças cósmicas.,96,"Com determinação implacável, ele luta contra os guardiões místicos da ponte, superando suas defesas e garantindo sua passagem para o próximo desafio.",4,"Luta contra os guardiões místicos da ponte, mas é superado pelos encantamentos.",94,"Enfrenta tempestades e forças cósmicas, e emerge vitorioso, sua coragem inabalável.",6,"Enfrenta tempestades e forças cósmicas, mas é esmagado pelo poder implacável da natureza."
asgard:,Jardins de Idavoll:,"Prova: Magnus é desafiado a percorrer os Jardins de Idavoll, onde a beleza e a serenidade escondem perigos ocultos. Ele deve enfrentar as criaturas mágicas que protegem os jardins e encontrar o caminho para o coração de Asgard.", enfrenta criaturas mágicas dos jardins.,descobre e segue um caminho secreto.,97,"Com astúcia e respeito pela natureza, ele enfrenta as criaturas mágicas dos jardins, encontrando uma comunhão com o mundo natural e garantindo sua passagem sem prejudicar o equilíbrio.",3,"Enfrenta criaturas mágicas dos jardins, mas é capturado pelas suas armadilhas mágicas.",96,"Descobre e segue um caminho secreto, que o leva diretamente ao seu objetivo.",4,"Descobre e segue um caminho secreto, mas o caminho o leva a uma armadilha mortal."
asgard:,Sala do Trono de Odin:,"Prova: Magnus é convocado perante o trono de Odin, onde o próprio Pai de Todos o testará em sabedoria e coragem. Ele deve responder aos enigmas do sábio rei dos deuses e provar sua inteligência e perspicácia.",responde aos enigmas de Odin.,prova sua honra e valentia.,98,"Com sagacidade e conhecimento, ele responde aos enigmas de Odin, demonstrando sua inteligência e conquistando o respeito do grande deus, garantindo sua orientação para o próximo desafio.",2,"Responde aos enigmas de Odin, mas um erro crucial o condena.",95,"Prova sua honra e valentia, e ganha o respeito e a admiração de todos.",5,"Prova sua honra e valentia, mas é traído e humilhado."
asgard:,Montanha de Yggdrasil:,"Prova: Magnus escala a Montanha de Yggdrasil, o eixo do universo, enfrentando os perigos naturais e os guardiões místicos que protegem a árvore da vida. Ele deve alcançar o topo da montanha e tocar as estrelas para provar sua conexão com os reinos celestiais.", escala a montanha enfrentando perigos naturais.,utiliza runas para superar desafios.,97,"Com determinação e habilidade, ele escala a montanha, superando os perigos naturais que o confrontam, chegando ao topo com uma sensação de realização e admiração pela grandiosidade da natureza.",3,"Escala a montanha enfrentando perigos naturais, mas é atingido por um deslizamento de rochas.",97,"Utiliza runas para superar desafios, decifrando os enigmas e abrindo os caminhos.",3,"Utiliza runas para superar desafios, mas as runas se tornam incontroláveis e ele é ferido."
asgard:,Forja de Volundr:,"Prova: Magnus é desafiado a entrar na Forja de Volundr, onde os maiores artefatos de Asgard são forjados. Ele deve provar sua habilidade como ferreiro místico, criando uma arma digna dos deuses.",forja uma arma digna dos deuses.,forja uma arma digna dos deuses.,96,"Com maestria e devoção, ele forja uma arma digna dos deuses, combinando habilidade e magia para criar uma poderosa ferramenta que o ajudará em suas futuras batalhas.",4,"Forja uma arma digna dos deuses, mas a arma se quebra no momento crucial.",98,"Forja uma arma digna dos deuses, que brilha com um poder divino.",2,"Forja uma arma digna dos deuses, mas a arma se quebra no momento crucial."
asgard:,Cachoeira de Mimir:,"Prova: Magnus mergulha nas águas da Cachoeira de Mimir, onde a sabedoria é concedida aos que bebem de suas águas. Ele deve enfrentar os guardiões aquáticos e beber da fonte da sabedoria para ganhar conhecimento divino.",enfrenta guardiões da cachoeira.,bebe da fonte e interpreta visões.,97,"Com coragem e determinação, ele enfrenta os guardiões da cachoeira, superando seus desafios e provando sua dignidade para avançar rumo à próxima etapa de sua jornada.",3,"Enfrenta guardiões da cachoeira, mas é levado pelas fortes correntezas.",96,"Bebe da fonte e interpreta visões, ganhando conhecimento e sabedoria inestimáveis.",4,"Bebe da fonte e interpreta visões, mas as visões o confundem e o levam ao erro."
asgard:,Templo de Frigg:,"Prova: Magnus é desafiado a adentrar o Templo de Frigg, onde a profecia é tecida pelos fios do destino. Ele deve enfrentar os desafios dos oráculos e decifrar os enigmas do destino para descobrir seu próprio papel na grande tapeçaria da vida.",decifra enigmas proféticos.,revela seu papel no destino,98,"Com sabedoria e perspicácia, ele decifra os enigmas proféticos, revelando seu significado oculto e usando-os para guiar sua jornada em direção ao destino predestinado.",2,"Decifra enigmas proféticos, mas uma interpretação errada o leva à ruína.",94,"Revela seu papel no destino, e todos reconhecem sua importância e liderança.",6,"Revela seu papel no destino, mas ninguém acredita nele e ele é deixado sozinho."
